Ingredient	Gene_ID
YXQN_targetTotal	4306
YXQN_targetTotal	56413
YXQN_targetTotal	8398
YXQN_targetTotal	4598
YXQN_targetTotal	53637
YXQN_targetTotal	3156
YXQN_targetTotal	776
YXQN_targetTotal	191
YXQN_targetTotal	10280
YXQN_targetTotal	3356
YXQN_targetTotal	6532
YXQN_targetTotal	3358
YXQN_targetTotal	1585
YXQN_targetTotal	3062
YXQN_targetTotal	4544
YXQN_targetTotal	11255
YXQN_targetTotal	3360
YXQN_targetTotal	3363
YXQN_targetTotal	4987
YXQN_targetTotal	1816
YXQN_targetTotal	6571
YXQN_targetTotal	1269
YXQN_targetTotal	4986
YXQN_targetTotal	5602
YXQN_targetTotal	4988
YXQN_targetTotal	1432
YXQN_targetTotal	4985
YXQN_targetTotal	6716
YXQN_targetTotal	2542
YXQN_targetTotal	1268
YXQN_targetTotal	1814
YXQN_targetTotal	2100
YXQN_targetTotal	3292
YXQN_targetTotal	887
YXQN_targetTotal	3249
YXQN_targetTotal	1241
YXQN_targetTotal	1232
YXQN_targetTotal	5734
YXQN_targetTotal	1240
YXQN_targetTotal	23450
YXQN_targetTotal	7052
YXQN_targetTotal	5737
YXQN_targetTotal	140
YXQN_targetTotal	10911
YXQN_targetTotal	2915
YXQN_targetTotal	1588
YXQN_targetTotal	6915
YXQN_targetTotal	775
YXQN_targetTotal	1129
YXQN_targetTotal	3065
YXQN_targetTotal	9170
YXQN_targetTotal	3290
